districtid,vaccinateddose1ratio,vaccinateddose2ratio
TN_Kancheepuram,0.07672427850970874,0.011719621474584394
PB_Ferozepur,0.08936342390666875,0.022881373473811206
AR_Kurung Kumey,0.0934228246231374,0.0309201094747817
TN_Vellore,0.10285491743453486,0.03073750657655568
WB_Purba Bardhaman,0.12141449315023409,0.05930395385175346
TN_Tirunelveli,0.1215985269883691,0.023516581292349327
ML_East Garo Hills,0.12243132641538515,0.03253050324455754
TN_Viluppuram,0.12608066268984147,0.020357787059542228
WB_Jalpaiguri,0.12965297354968414,0.03967805587931975
UP_Sultanpur,0.1320931116950044,0.02805812936498928
CT_Surguja,0.14159582284906982,0.043020722187427696
UP_Moradabad,0.14201239478743322,0.03218332080890091
HR_Nuh,0.14262671182258096,0.022719949176645125
UP_Budaun,0.14541339570699444,0.026255222852573784
UP_Rae Bareli,0.14634660565269902,0.023875081888171664
WB_Paschim Medinipur,0.16033717671406084,0.06429707698897616
UP_Ballia,0.16473618221517922,0.03631210078233852
WB_Murshidabad,0.16499941510235286,0.06954848294724224
UP_Muzaffarnagar,0.1681730377515499,0.030053008172777104
UP_Rampur,0.17159505937746033,0.03390331185763965
UP_Sitapur,0.17164905735781866,0.026886533249836305
NL_Kiphire,0.17231500999945948,0.04960542673369007
WB_Cooch Behar,0.17548205340312428,0.0745794913670601
ML_West Khasi Hills,0.17552502079742138,0.05771382226614962
PB_Mansa,0.17595170386267767,0.040240285494919786
NL_Tuensang,0.17679912104010254,0.0483021017721622
WB_Malda,0.17784371165086635,0.06746815180835555
NL_Phek,0.17949675066394155,0.058818490007220746
WB_Uttar Dinajpur,0.17990418784131335,0.05754815049811548
PB_Sangrur,0.1810074983279653,0.04864337116028635
UP_Sant Kabir Nagar,0.18200157067788103,0.03138207409938182
CT_Durg,0.1830677131182055,0.07735074787551677
UP_Lakhimpur Kheri,0.18347809371380938,0.023890125515916346
NL_Peren,0.18439597139226416,0.059872504437139644
UP_Sonbhadra,0.18467656595039406,0.0406064989082225
UP_Kaushambi,0.18544995111265594,0.0337303919239608
CT_Bastar,0.19086271643271754,0.0501592486266973
MH_Solapur,0.19099851867497838,0.06979296653168915
AR_Lohit,0.1922169002099831,0.04604531792542168
WB_Nadia,0.19256637510643237,0.08249322702995587
ML_West Jaintia Hills,0.19310393699193165,0.054294348103380206
UP_Prayagraj,0.19376372831411307,0.046812679919743264
TN_Thiruvallur,0.19421239321649825,0.04440782767862699
UP_Unnao,0.194641108981018,0.035623528367145836
UP_Etah,0.19558405842838467,0.030155876651187952
UP_Kushinagar,0.1958497356183568,0.038984229118787704
NL_Wokha,0.19619701460235778,0.07234449300541652
MH_Jalgaon,0.19665421330962285,0.0642551615078972
UP_Mau,0.19680158551710633,0.04133650170809368
WB_Purulia,0.1981714028288992,0.07049791561082074
UP_Maharajganj,0.19840630416101893,0.03613360584019908
BR_Kishanganj,0.19905702792238522,0.029917179365830573
UP_Kasganj,0.19960549000883263,0.02993000022969001
UP_Mainpuri,0.20028749888281103,0.030619273235791365
MH_Nanded,0.20119852723298065,0.06703315272817714
UP_Farrukhabad,0.20120528070171717,0.03499939529090751
BR_Araria,0.20171050399261053,0.03703554847844744
UP_Deoria,0.20318283517352448,0.04343126258890029
UP_Shahjahanpur,0.2035690219115807,0.03487266749996175
BR_Katihar,0.20391308580934925,0.02933674673863386
UP_Hardoi,0.2045738355593725,0.02524356529504538
BR_Supaul,0.20516841956039183,0.03545460091984302
BR_West Champaran,0.20628674357224142,0.025034040297409785
BR_Madhepura,0.2066014840925145,0.03513854294366663
MH_Hingoli,0.20781928831396065,0.05015607149985773
BR_Gopalganj,0.20904507863351146,0.03299828416104218
CT_Dakshin Bastar Dantewada,0.20933291857026673,0.06661257256792058
UP_Ambedkar Nagar,0.2094551538687378,0.033536595537406254
BR_Sitamarhi,0.21111096181943198,0.03546848994647114
BR_Kaimur,0.21117645033399246,0.02812373953506675
BR_Madhubani,0.21138976672128654,0.04163343457283194
UP_Aligarh,0.21224348367628962,0.042338513765658135
UP_Chandauli,0.21285557437795607,0.031028966240533893
BR_Aurangabad,0.21316513344301521,0.028094861840584896
UP_Jaunpur,0.21332631985552947,0.040835930011187745
UP_Amroha,0.21333415932108155,0.036994469685977936
PB_Bathinda,0.21562233305125944,0.06223870654111377
UP_Firozabad,0.21635878624073115,0.034875324039011175
BR_Gaya,0.21770621698959197,0.046096272320239155
BR_Bhojpur,0.2184718042432819,0.03648685844890443
BR_Jamui,0.21876045569059394,0.03390981052655497
UP_Kanpur Dehat,0.21896531758439003,0.032718251582243243
UP_Auraiya,0.21901279044902486,0.03708106658354748
BR_Nawada,0.21960069323965165,0.03811511275058063
BR_Khagaria,0.22003004404620352,0.03406111755692951
UP_Fatehpur,0.22017880278782542,0.037711761883943415
ML_South Garo Hills,0.2207624320260795,0.06545168406705355
BR_Lakhisarai,0.2208335997570216,0.03389908403535975
TN_Cuddalore,0.2219996515617937,0.044093166543485315
JH_Garhwa,0.2223288155889397,0.045232630573094325
BR_Muzaffarpur,0.22238829658937959,0.04050874577333098
MH_Ahmednagar,0.2227192576795133,0.08761128545137865
UP_Azamgarh,0.22326212046044214,0.034938890265161046
BR_Saharsa,0.22405257960256983,0.04076423938829702
MH_Osmanabad,0.2243124900457053,0.0755175026665444
BR_Vaishali,0.22486874900036366,0.03924382714724747
JH_Dhanbad,0.22521062683484777,0.0756967718599494
BR_Samastipur,0.22624194955563284,0.041326826804982016
UP_Ayodhya,0.22650663942798774,0.04439060200825902
JH_Bokaro,0.22699907386305782,0.07015366115025239
WB_Bankura,0.22706394852577688,0.08517007657630356
PB_Gurdaspur,0.22718695326984067,0.08160167217575598
BR_Rohtas,0.22744785497436076,0.03717873265408028
PB_Tarn Taran,0.22936567267491764,0.05350263971840622
JH_Sahibganj,0.22937647264348796,0.03793434019922352
UP_Etawah,0.22998337347721914,0.040370840998602865
UP_Banda,0.23058280214070168,0.028249259479496056
BR_East Champaran,0.2319078176504514,0.040752869324471586
UP_Kannauj,0.23203928973280472,0.02482953200983209
UP_Ghazipur,0.23268498354265485,0.0319677990690192
UP_Pilibhit,0.23286625796956878,0.04344101226632897
UP_Barabanki,0.23296998588339493,0.030480274321548845
JH_Latehar,0.2343839841095604,0.047638305423272784
UP_Bijnor,0.2344374921423418,0.04149495222679584
JH_Giridih,0.2357174928050758,0.040145591406819295
MH_Beed,0.2363769506883622,0.07373593305194602
WB_Dakshin Dinajpur,0.23663585232980727,0.10717328172687553
UP_Lalitpur,0.23729936017917602,0.028123137676081704
MH_Akola,0.2377383392524199,0.09215196377320545
PB_Moga,0.23839412862316295,0.054474735524923025
MH_Amravati,0.23955623181331132,0.08718670426475145
BR_Banka,0.2396456000035385,0.03820690665202778
BR_Begusarai,0.24033534632243755,0.03788165186072167
UP_Bareilly,0.24078542221974442,0.05046130494413783
BR_Buxar,0.24163185556086902,0.044417564488452556
MH_Yavatmal,0.24188629998831315,0.07811176663247182
UP_Bhadohi,0.24218340616887582,0.0410578293297546
MH_Parbhani,0.24489430233660078,0.08042379278530526
TN_Thanjavur,0.24521195898399345,0.0427230671393954
Delhi,0.2457419286855964,0.0972424492080357
TN_Ariyalur,0.24621734972062304,0.045658065900643
UP_Kanpur Nagar,0.24676203182175765,0.0634320017951362
TN_Tiruvannamalai,0.24693057457274709,0.031051878898524267
UP_Hathras,0.2472761690999215,0.04371550474593343
TN_Nagapattinam,0.2473222184416468,0.03649726251971914
BR_Darbhanga,0.24822159885304587,0.04714118634575994
TN_Thoothukkudi,0.2483641645183113,0.046275917393450716
JH_West Singhbhum,0.24862181479800152,0.055813006127782165
CT_Narayanpur,0.24902016878844227,0.08711915319696753
UP_Jalaun,0.25027840665004314,0.03919350238524379
MH_Latur,0.2506474625498534,0.08273137108853572
BR_Jehanabad,0.25145092965246113,0.04728639942842569
WB_South 24 Parganas,0.2534488954308897,0.09719000127542879
HR_Jind,0.25363901564439434,0.06092409260713922
BR_Purnia,0.25411847446823044,0.05001257420850641
JH_Chatra,0.2542674846531644,0.042947167763302985
MH_Nashik,0.2544819734519346,0.08977471952307994
MH_Buldhana,0.25458944931248156,0.08868063433733216
UP_Balrampur,0.25581838025006226,0.051246238943716216
JH_Deoghar,0.2571784356395431,0.052455208290747166
BR_Sheohar,0.25788804807953114,0.057963019965074074
HR_Bhiwani,0.2579224140304507,0.06325572289064484
NL_Mon,0.2585551026931991,0.07249260768800447
TN_Theni,0.25882756146364994,0.04216954985917799
TN_Madurai,0.25907363839470854,0.06215415969445589
NL_Zunheboto,0.2590777012866145,0.057979354490362824
MH_Nandurbar,0.25912473191995367,0.06583166241479832
AR_Tirap,0.2593168117883456,0.05030587184639428
MH_Ratnagiri,0.2594675521603102,0.08423726788143417
AR_East Kameng,0.2595120091498284,0.07857415173465497
WB_Hooghly,0.2601634854674048,0.11620622397128541
MH_Dhule,0.26051923532641397,0.08245410954028111
TN_Thiruvarur,0.2611698227524506,0.035999231181141476
JH_Pakur,0.26147961733498293,0.04406489401636122
BR_Saran,0.2616690562575313,0.0538938353616599
BR_Sheikhpura,0.2617051836905312,0.04692130961024103
MH_Thane,0.2620880841739188,0.09624382964857252
OR_Mayurbhanj,0.2626086521693922,0.06398562072723434
UP_Chitrakoot,0.26264608310729737,0.024525828602543032
JH_Palamu,0.26291930022078813,0.05715643685217919
UP_Agra,0.2636276343991362,0.051932007738757856
MH_Chandrapur,0.26387658343415865,0.07668396462017314
TN_Dindigul,0.2654758018775104,0.052321190864789154
MH_Gadchiroli,0.26748882977831046,0.06464002714033004
BR_Nalanda,0.2675034133719389,0.05901788714622646
MH_Jalna,0.26752919533283037,0.08057799561623362
PB_Barnala,0.2688475921326825,0.08292151321434628
UP_Bahraich,0.26915063116966303,0.03736039275964804
WB_Howrah,0.269389110869234,0.09470974297267089
TN_Pudukkottai,0.2703403785966528,0.03990372880937006
UP_Basti,0.27054970167955383,0.041045842016763076
UP_Saharanpur,0.2712698715836858,0.05632529825045249
TN_Sivaganga,0.2715344100258308,0.042568857763529415
JH_Gumla,0.27170548949340284,0.06058058179129605
PB_Faridkot,0.27216975326635445,0.08976725807600873
JH_Dumka,0.2726203647227801,0.054519986499596655
BR_Siwan,0.27289590879829356,0.054362094891282416
MP_Shajapur,0.27537200506914544,0.05070137061283906
CT_Koriya,0.2762457183529944,0.07243400913923909
AR_Upper Subansiri,0.27680711341194514,0.08708417217908158
PB_Sri Muktsar Sahib,0.27734461623069623,0.060159929747997554
CT_Janjgir Champa,0.2776817041600734,0.08132273306221434
TN_Dharmapuri,0.278393966723806,0.045558163657394964
UP_Gorakhpur,0.2789223793852365,0.05749269009963082
UP_Mathura,0.27932650330718156,0.056922075515549724
BR_Munger,0.2793352659265298,0.047121398778298906
OR_Nabarangapur,0.27937844916974214,0.04819132050066096
GJ_Junagadh,0.28035800606762756,0.0955250335206895
UP_Mirzapur,0.28054602177839544,0.04253355066340404
UP_Jhansi,0.28097576156945625,0.05944702374608664
UP_Siddharthnagar,0.2832293399320204,0.04014657149990798
JH_Ranchi,0.28324342464432567,0.09035763195577048
GJ_Panchmahal,0.2845398314187527,0.09327724554705251
CT_Raipur,0.28458524284229425,0.09719499039339821
OR_Jagatsinghpur,0.28476891670939714,0.10470979470892397
PB_Kapurthala,0.2854577215984926,0.0970069973306116
JH_Hazaribagh,0.2865410393226847,0.0652570344682458
JH_Ramgarh,0.2871114958981213,0.07545266013862865
HR_Hisar,0.2871873944553999,0.06898782119246691
MP_Sheopur,0.2875769959337715,0.04072189003301539
JH_Khunti,0.2880021057183414,0.08459347415324742
GJ_Sabarkantha,0.2887285580227861,0.08881123977750044
WB_Birbhum,0.28907773061017517,0.10263578958909367
UP_Shrawasti,0.2891858584647218,0.03164599444584158
OR_Bargarh,0.28955919136137936,0.07395013012614303
JH_Godda,0.2902513872700794,0.04957325600604773
UP_Gonda,0.29053247907128854,0.03790479624009768
TN_Karur,0.2905871621513716,0.05080822513628554
TN_Tiruchirappalli,0.2913973162300857,0.06636949039228003
KA_Kalaburagi,0.2915529827465412,0.0717274422657137
OR_Malkangiri,0.29194281725788984,0.059886626048611204
UP_Ghaziabad,0.2921406898643532,0.06788660823278997
KA_Haveri,0.29228162546912123,0.07262960765315447
TN_Ramanathapuram,0.2924322746768432,0.04723354107481279
UP_Bulandshahr,0.29271133076948797,0.04745323963876015
OR_Kalahandi,0.29271740391877826,0.07846878846625814
AR_West Siang,0.29300639506920567,0.1099631259240786
TN_Salem,0.29410124363307194,0.0691485145557682
BR_Bhagalpur,0.29432550104254246,0.05628741647645013
TN_Kanyakumari,0.29454002247678807,0.062122334891310506
OR_Angul,0.29522279817965,0.06512688988484253
JH_Lohardaga,0.2962905216656922,0.060583815154074364
ML_West Garo Hills,0.29697601862920514,0.07442976817645514
OR_Jajpur,0.29711984290649257,0.08190053371512135
OR_Balasore,0.2971412983849803,0.11402098400838774
KA_Raichur,0.2976614620813226,0.07453240647611069
HR_Panipat,0.29850004604139413,0.09283189415954546
AR_Lower Subansiri,0.29912079971094785,0.09816933638443937
UP_Varanasi,0.3005411438786719,0.07835829724483599
PB_Patiala,0.3007322942723637,0.08424918472785049
JH_Jamtara,0.3020497015329148,0.06569941924701848
WB_Purba Medinipur,0.30241303014693255,0.1318741138666078
OR_Boudh,0.3028161990379951,0.06426437453815152
TN_Tiruppur,0.3032586650058167,0.05305778176496499
BR_Arwal,0.3054064890424817,0.040631068584547465
TN_Virudhunagar,0.3064890479681695,0.06820564200571697
GJ_Dang,0.3067882658536692,0.07817215746569071
AP_Kurnool,0.30679668224429335,0.12153262531321983
ML_Ribhoi,0.3072747643331788,0.06653917477978674
TN_Perambalur,0.3072893353596722,0.05532506638972583
PB_Amritsar,0.307313414618478,0.10573358986548122
CT_Jashpur,0.3073189231966879,0.07644166924004514
OR_Kandhamal,0.3089181705337535,0.0771507686431777
KA_Yadgir,0.309528209416736,0.10451931453642302
CT_Kabeerdham,0.31137131227462717,0.0769519747704024
HR_Kaithal,0.31157661146193255,0.07625681371380913
CT_Bijapur,0.31198918622419,0.11215374368216903
TN_Namakkal,0.3148486535105679,0.06842403079808247
OR_Kendujhar,0.31536526222253797,0.06774366679191644
KA_Davanagere,0.31683163736567055,0.0791638332004624
TN_Krishnagiri,0.31778707304837883,0.05772660945872692
TN_Erode,0.31903582289993887,0.057365757386274814
WB_North 24 Parganas,0.31945633975408655,0.10327718458575667
PB_Fatehgarh Sahib,0.32159763264313196,0.068238128641719
MH_Washim,0.3240803234321227,0.1189949547261853
PB_Rupnagar,0.3258898641157886,0.07354661735514376
CT_Uttar Bastar Kanker,0.32799779955964486,0.09810786163396049
OR_Balangir,0.32863492171301706,0.056479787410165086
JH_Simdega,0.32882961015914525,0.056893348321652895
OR_Sundargarh,0.32939754098164886,0.08741605312221003
MH_Kolhapur,0.33070399104644194,0.18060599055572998
MP_Satna,0.3309863230646026,0.0640669198518575
MP_Barwani,0.33230197975150827,0.04548947564762054
MP_Jhabua,0.33299806448088287,0.050646408753541296
OR_Nayagarh,0.334039960988337,0.08630343720171293
AP_Anantapur,0.33441007285205043,0.14636739466444246
MP_Alirajpur,0.3345642449440946,0.04371336586195591
HR_Palwal,0.3350458613533223,0.07096521749137821
JH_East Singhbhum,0.3360593813469438,0.1183720959632838
MP_Shivpuri,0.3362550331682164,0.046741403783204426
KA_Belagavi,0.33641277069649916,0.09231637975998716
MZ_Lawngtlai,0.33724362562980303,0.08642509372826437
HR_Sirsa,0.3374758432939131,0.0947182225914519
NL_Mokokchung,0.3378240897740235,0.1125001284541316
KL_Malappuram,0.3386117405638816,0.13657401554126994
